	cologne1				cologne3				cologne8			
	delay	trip time	wait	queue	delay	trip time	wait	queue	delay	trip time	wait	queue
FMA2C	22.74 (3.07)	41.39 (2.38)	8.88 (1.81)	3.44 (0.32)	150.56 (53.45)	108.75 (4.66)	44.62 (3.94)	5.27 (0.25)	276.53 (148.94)	366.96 (109.52)	186.16 (113.00)	5.42 (1.76)
MPLight	43.51 (8.03)	58.37 (5.01)	22.02 (3.94)	8.46 (0.96)	156.26 (50.01)	133.52 (8.71)	63.04 (7.42)	8.03 (0.53)	290.40 (70.00)	373.76 (55.95)	178.81 (57.74)	7.29 (0.79)
CoSLight												
DuaLight	19.35 (1.27)	38.22 (0.95)	6.46 (0.65)	2.13 (0.09)	91.92 (21.68)	93.04 (3.61)	28.77 (3.71)	3.62 (0.47)				
PressLight												
HiLight												
SHLight												
proposed					178.64 (63.50)	132.02 (10.46)	66.90 (10.48)	5.58 (0.53)	245.08 (107.36)	353.58 (84.95)	163.03 (84.69)	5.62 (1.36)
proposed + gnn					140.40 (71.41)	68.79 (49.76)	50.69 (16.36)	5.77 (1.32)				
mappo					477.02 (83.09)	160.10 (75.83)	171.67 (43.15)	7.63 (1.61)				
mappo_proposed					451.30 (58.22)	169.90 (54.64)	154.66 (30.87)	7.44 (1.32)				
vdn					80.68 (16.48)	52.19 (35.89)	24.63 (1.80)	3.26 (0.19)				
vdn_proposed					253.81 (55.78)	74.28 (45.65)	58.19 (4.28)	4.91 (0.41)				
